gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,logP,Signif,Difference
GALGAL-R03467,2.08870420311782e-128,1.02687995146935,0.45,0.261,3.12846115542988e-124,123.504669233075,upregulated,0.189
GALGAL-R10132,2.534370827605e-128,-2.32363945245599,0.052,0.168,3.79598062558677e-124,123.420676012847,downregulated,-0.116
GALGAL-R05923,5.2400445878955e-128,0.793223516521802,0.566,0.377,7.84853878374987e-124,123.105211191309,upregulated,0.189
GALGAL-R15254,3.71675811250598e-127,-0.214418046676449,0.999,1,5.56696030091146e-123,122.254381875721,not significant,-0.001
GALGAL-R11482,1.35292164402789e-126,-3.1278455950668,0.032,0.133,2.02640603842498e-122,121.693273529075,downregulated,-0.101
GALGAL-R03742,2.18216141752928e-125,-0.50184793958173,0.952,0.963,3.26844137117535e-121,120.485659300939,downregulated,-0.011
GALGAL-R08983,4.70645247654934e-125,-0.497677645473283,0.77,0.878,7.0493245193756e-121,120.151852495996,downregulated,-0.108
GALGAL-R02327,9.92270867629963e-125,0.611255428135149,0.706,0.533,1.48622330553616e-120,119.827915932785,upregulated,0.173
GALGAL-R07859,1.09373950574019e-124,-1.22279546539552,0.071,0.199,1.63820303169766e-120,119.785632274687,downregulated,-0.128
GALGAL-R12396,3.71680863014713e-124,-0.845949737566692,0.428,0.603,5.56703596623436e-120,119.254375972893,downregulated,-0.175
GALGAL-R03145,4.51132683406583e-124,0.943791729218267,0.424,0.23,6.7570653320638e-120,119.17024188199,upregulated,0.194
GALGAL-R04560,3.40971364324035e-123,0.481195823642479,0.834,0.719,5.10706909484539e-119,118.291828266423,upregulated,0.115
GALGAL-R14556,8.20250377282434e-123,0.406334044821347,0.913,0.824,1.22857101509363e-118,117.910599734933,upregulated,0.0890000000000001
GALGAL-R09455,1.42280226255897e-122,-0.766986479736215,0.438,0.612,2.13107322886083e-118,117.671401626614,downregulated,-0.174
