"","geneid","HH29_Beak","HH30_Beak","HH36_Beak","HH38_Beak"
"13306","GALGAL-R14894",0.733768626849835,3.14086491985197,580.517083880688,0.648814719175232
"13307","GALGAL-R14895",0.110564922416634,0.166559281839097,2.0065930815493,0.471973463906958
"13308","GALGAL-R14896",0.00795500846508817,0.00708506311483651,0.0107703296865803,0.00623387206894772
"13309","GALGAL-R14897",0.00180795646933822,0,0,0
"13310","GALGAL-R14898",0.00470068682027937,0.00492873955814714,0.00414243449483859,0.00170014692789483
"13311","GALGAL-R14899",0.0177739641789216,0.0221402453599656,0.0208011005407976,0.0130344597805271
"13312","GALGAL-R14900",0.0065086432896176,0.00145344889340081,0.00331394759587087,0.00623387206894772
"13313","GALGAL-R14901",1.15790509100678,0.490556423593493,11.4695775388883,0.497895314775654
"13314","GALGAL-R14902",3.39390095858825,1.27616384063435,42.3033025614035,0.38903014649306
"13315","GALGAL-R14903",0.470435856670161,0.648934115421567,0.629984894098613,0.118871265450405
"13316","GALGAL-R14904",0.00433909552641173,0,0.00579940829277402,0.0199443526869988
"13317","GALGAL-R14905",0.745728304416955,0.932714111228817,0.587451438082059,0.203618259951054
"13318","GALGAL-R14906",0.32888226959643,0.337517571631929,0.311202881792307,0.148880271233625
"13319","GALGAL-R14907",0.0413091471416639,0.0230974490701692,0.0542860794781095,0.0218434319558806
"13320","GALGAL-R14908",0.017616106561361,0.0141164090542038,0.0399845866730544,0.0145749526137961
