"gene","average_expression","expression_prop"
"GALGAL-R09927",7.573918657702e+23,0.050131926121372
"GALGAL-R03569",7.12282944872869e+23,0.366094986807388
"GALGAL-R14786",4.06983939607567e+23,0.388192612137203
"GALGAL-R11084",3.06153648871709e+23,0.0379287598944591
"GALGAL-R02181",2.78029073508234e+23,0.554749340369393
"GALGAL-R09968",2.53906348116346e+23,0.95910290237467
"GALGAL-R10632",2.43914872096143e+23,0.764511873350924
"GALGAL-R04037",1.96722718337385e+23,0.0629947229551451
"GALGAL-R07050",1.59599531257165e+23,0.91523746701847
"GALGAL-R10102",1.21731663609844e+23,0.928100263852243
"GALGAL-R08141",1.18169135311594e+23,0.0468337730870712
"GALGAL-R10095",8.45625723315919e+22,0.0801451187335092
"GALGAL-R13546",5.24867280227298e+22,0.0131926121372032
"GALGAL-R07819",5.08744489531502e+22,0.0343007915567282
"GALGAL-R12262",4.87253302932469e+22,0.158311345646438
"GALGAL-R06693",4.45765093926661e+22,0.283311345646438
"GALGAL-R15287",3.06500628679923e+22,0.669195250659631
"GALGAL-R12396",2.95310975714734e+22,0.648087071240106
"GALGAL-R02390",2.89640703270567e+22,0.0517810026385224
"GALGAL-R12252",2.41121053961704e+22,0.0636543535620053
"GALGAL-R13469",2.18386525861736e+22,0.980211081794195
"GALGAL-R12663",1.14334207375039e+22,0.838720316622691
"GALGAL-R15480",8.9000909327778e+21,0.968337730870712
"GALGAL-R01580",8.81755541858109e+21,0.294195250659631
"GALGAL-R09246",8.26556442732664e+21,0.971965699208443
"GALGAL-R14827",7.75783819298572e+21,0.20877308707124
"GALGAL-R10515",6.67938564896153e+21,0.259894459102902
"GALGAL-R06238",4.62071619253206e+21,0.955145118733509
"GALGAL-R15711",4.58437772423999e+21,0.179749340369393
"GALGAL-R14674",4.10643736485292e+21,0.235158311345646
"GALGAL-R10537",3.58511742102097e+21,0.432387862796834
"GALGAL-R03887",3.08811013309047e+21,0.0405672823218997
"GALGAL-R12337",2.59720004704436e+21,0.0531002638522427
"GALGAL-R02129",2.24186981256929e+21,0.116754617414248
"GALGAL-R13370",2.13348215025763e+21,0.101253298153034
"GALGAL-R12492",2.08259285140027e+21,0.921503957783641
"GALGAL-R04466",1.57316311671642e+21,0.361147757255937
"GALGAL-R14077",1.46090394837488e+21,0.117084432717678
"GALGAL-R12828",1.37455566330183e+21,0.994063324538259
"GALGAL-R00597",8.9362034535499e+20,0.216688654353562
"GALGAL-R11953",6.13857892848291e+20,0.0128627968337731
"GALGAL-R07351",4.57767343353005e+20,0.336741424802111
"GALGAL-R07208",4.4774997882949e+20,0.546174142480211
"GALGAL-R08763",3.02893482038208e+20,0.198878627968338
"GALGAL-R12713",2.9707610997055e+20,0.196569920844327
"GALGAL-R14337",1.67610597637012e+20,0.41523746701847
"GALGAL-R17576",1.65138107946105e+20,0.219327176781003
"GALGAL-R01526",1.56578227569527e+20,0.66655672823219
"GALGAL-R10691",1.23123143228492e+20,0.262532981530343
"GALGAL-R06699",1.20714455842499e+20,0.484828496042216
"GALGAL-R03817",1.12254994961565e+20,0.586411609498681
"GALGAL-R12066",1.05174100667439e+20,0.967678100263852
"GALGAL-R14031",8.1162611938164e+19,0.284960422163588
"GALGAL-R05758",67582957982570160128,0.739445910290237
"GALGAL-R05403",67582957982337245184,0.113456464379947
"GALGAL-R01588",39413752468029513728,0.949538258575198
"GALGAL-R11966",38650375037848543232,0.939643799472295
"GALGAL-R08175",36406286702559227904,0.573218997361478
"GALGAL-R01845",35516954821328359424,0.0303430079155673
"GALGAL-R11234",34090194740968103936,0.393469656992084
"GALGAL-R01383",34029531203843833856,0.660290237467018
"GALGAL-R04438",31946119322792620032,0.29122691292876
"GALGAL-R15250",28201893143030525952,0.964709762532982
"GALGAL-R07681",21463706957184155648,0.183377308707124
"GALGAL-R02805",19250059830474227712,0.0079155672823219
"GALGAL-R06548",19203945818625110016,0.253627968337731
"GALGAL-R16594",18124715455898734592,0.226912928759894
"GALGAL-R16264",18050391326298300416,0.821899736147757
"GALGAL-R01003",9738339696714819584,0.867084432717678
"GALGAL-R03907",8772330051528086528,0.0775065963060686
"GALGAL-R08333",8027573732450119680,0.0366094986807388
"GALGAL-R06526",6970908450668945408,0.992084432717678
"GALGAL-R06098",3769271604309138944,0.990765171503958
"GALGAL-R13993",3568544299417229312,0.0115435356200528
"GALGAL-R13348",2874247689328626688,0.62598944591029
"GALGAL-R04177",2784493239212763648,0.310686015831135
"GALGAL-R00599",2312435838569472512,0.00923482849604222
"GALGAL-R04142",1939515952409232640,0.00329815303430079
"GALGAL-R16641",1786616641673652480,0.240435356200528
"GALGAL-R16749",1709997161625137408,0.66589709762533
"GALGAL-R05620",1229246275575522816,0.903034300791557
"GALGAL-R15212",1131187523790308864,0.00923482849604222
"GALGAL-R10536",860388797745108096,0.138522427440633
"GALGAL-R00306",750352340209656192,0.0316622691292876
