"","Type","background","pvalue","oddvalue","Simulate"
"247","highexp","random_test","0.487030612304611","1.0029283476764","50"
"248","highvar","random_test","0.089634340593096","1.13574418492684","50"
"249","specific.ob","random_test","0.749228801338873","0.951062189394761","50"
"250","DEG","random_test","0.36079935825727","1.01721343293459","50"
"251","cpm","random_test","0.180796441906075","1.04229568743206","51"
"252","highexp","random_test","0.550112817269759","0.994570272424794","51"
"253","highvar","random_test","0.189443275258006","1.08900779224984","51"
"254","specific.ob","random_test","0.396461317842232","1.02301693620338","51"
"255","DEG","random_test","0.807454303566409","0.96217661439093","51"
"256","cpm","random_test","0.473314057070819","1.00390306557986","52"
"257","highexp","random_test","0.139070678913732","1.05974229497523","52"
"258","highvar","random_test","0.843981848628066","0.910770915522976","52"
"259","specific.ob","random_test","0.0680764491854263","1.12275194778216","52"
"260","DEG","random_test","0.50238242658231","1.00066552708637","52"
"261","cpm","random_test","0.64766777442977","0.98412610370534","53"
"262","highexp","random_test","0.306129730376878","1.02825760066665","53"
"263","highvar","random_test","0.633706297712217","0.97160822395472","53"
"264","specific.ob","random_test","0.92794754252291","0.892940142260637","53"
"265","DEG","random_test","0.4843082232536","1.00272205596419","53"
"266","cpm","random_test","0.288870703931267","1.02602388337257","54"
"267","highexp","random_test","0.487030612304611","1.0029283476764","54"
"268","highvar","random_test","0.447760062478179","1.01607388768719","54"
"269","specific.ob","random_test","0.610702185143374","0.980763405745188","54"
"270","DEG","random_test","0.677092251539912","0.980271640392101","54"
"271","cpm","random_test","0.0295042357894059","1.08817325339417","55"
"272","highexp","random_test","0.117162785544254","1.06552981968084","55"
"273","highvar","random_test","0.560403807802815","0.989296145542093","55"
"274","specific.ob","random_test","0.773527275977684","0.94523001629575","55"
"275","DEG","random_test","0.0629767794185414","1.07235227766653","55"
"276","cpm","random_test","0.782608396546393","0.966577975286967","56"
"277","highexp","random_test","0.792372981782115","0.958851656382695","56"
"278","highvar","random_test","0.702652969437614","0.954048823798594","56"
"279","specific.ob","random_test","0.258375169611172","1.05370581330493","56"
"280","DEG","random_test","0.0749139598292636","1.06803246612945","56"
"281","cpm","random_test","0.403177960183022","1.01190115901832","57"
"282","highexp","random_test","0.139070678913732","1.05974229497523","57"
"283","highvar","random_test","0.410817996074886","1.0250683522464","57"
"284","specific.ob","random_test","0.640261380478966","0.97479169739669","57"
"285","DEG","random_test","0.121079325413864","1.05515138517327","57"
"286","cpm","random_test","0.231302014140056","1.03410117804223","58"
"287","highexp","random_test","0.0346485083645569","1.10064706715308","58"
"288","highvar","random_test","0.165313729543598","1.09828328918616","58"
"289","specific.ob","random_test","0.488024186463545","1.00480886289509","58"
"290","DEG","random_test","0.831354095152918","0.958188491392368","58"
"291","cpm","random_test","0.403177960183022","1.01190115901832","59"
"292","highexp","random_test","0.508092285066742","1.00012208521548","59"
"293","highvar","random_test","0.633706297712217","0.97160822395472","59"
"294","specific.ob","random_test","0.0904665588723138","1.11003950479735","59"
"295","DEG","random_test","0.819651414675733","0.960181061464731","59"
"296","cpm","random_test","0.38603853040394","1.01390884983993","60"
"297","highexp","random_test","0.163630850634933","1.05397426663599","60"
"298","highvar","random_test","0.274133949507694","1.06139431306112","60"
"299","specific.ob","random_test","0.749228801338873","0.951062189394761","60"
"300","DEG","random_test","0.0687452640514286","1.07019073293638","60"
"301","cpm","random_test","0.971343702392816","0.919049195318746","61"
"302","highexp","random_test","0.743908128095628","0.966983860988279","61"
"303","highvar","random_test","0.903275406490635","0.885181962782395","61"
"304","specific.ob","random_test","0.889357104373211","0.910216655726144","61"
"305","DEG","random_test","0.819651414675733","0.960181061464731","61"
"306","cpm","random_test","0.526619354123206","0.997938545972358","62"
"307","highexp","random_test","0.403799756173434","1.01413834058956","62"
"308","highvar","random_test","0.089634340593096","1.13574418492684","62"
"309","specific.ob","random_test","0.873712771216145","0.916007213166728","62"
"310","DEG","random_test","0.520455022535985","0.998612330846955","62"
"311","cpm","random_test","0.491073678662638","1.00191169147889","63"
"312","highexp","random_test","0.612019058081127","0.986249281981609","63"
"313","highvar","random_test","0.306126753768299","1.05226036594109","63"
"314","specific.ob","random_test","0.21123669224965","1.06610211511113","63"
"315","DEG","random_test","0.295538599881236","1.02556969663287","63"
"316","cpm","random_test","0.831445615199954","0.958854064181934","64"
"317","highexp","random_test","0.892555063016515","0.937224867189859","64"
"318","highvar","random_test","0.976287131689676","0.826581105117567","64"
"319","specific.ob","random_test","0.234137098098678","1.05989529346601","64"
"320","DEG","random_test","0.377875753355218","1.01513296123548","64"
"321","cpm","random_test","0.769236976501586","0.968516157279042","65"
"322","highexp","random_test","0.550112817269759","0.994570272424794","65"
"323","highvar","random_test","0.485224563594019","1.0071140031018","65"
"324","specific.ob","random_test","0.696875422713106","0.962895543316819","65"
"325","DEG","random_test","0.0358971618479183","1.08539070226822","65"
"326","cpm","random_test","0.0572829586180367","1.0734133018745","66"
"327","highexp","random_test","0.0484648496832035","1.09179919242315","66"
"328","highvar","random_test","0.0189164201493187","1.21237262213687","66"
"329","specific.ob","random_test","0.696875422713106","0.962895543316819","66"
"330","DEG","random_test","0.0814973298334319","1.06587747157268","66"
"331","cpm","random_test","0.473314057070819","1.00390306557986","67"
"332","highexp","random_test","0.940652098447451","0.921206867559362","67"
"333","highvar","random_test","0.485224563594019","1.0071140031018","67"
"334","specific.ob","random_test","0.36698495721118","1.02912038975768","67"
"335","DEG","random_test","0.990055097108778","0.899774154734234","67"
"336","cpm","random_test","0.769236976501586","0.968516157279042","68"
"337","highexp","random_test","0.287924281940122","1.03109576831225","68"
"338","highvar","random_test","0.339727050455629","1.0431614728054","68"
"339","specific.ob","random_test","0.426574268707167","1.01693055789121","68"
"340","DEG","random_test","0.899414285387072","0.944323605888116","68"
"341","cpm","random_test","0.985012394367891","0.907902554457106","69"
"342","highexp","random_test","0.892555063016515","0.937224867189859","69"
"343","highvar","random_test","0.306126753768299","1.05226036594109","69"
"344","specific.ob","random_test","0.916420971329198","0.898683172124427","69"
"345","DEG","random_test","0.977693601440474","0.913171363681321","69"
"346","cpm","random_test","0.27386438897181","1.02805457143183","70"
"347","highexp","random_test","0.871543901659396","0.942599971666721","70"
"348","highvar","random_test","0.668865135393277","0.962812508648932","70"
"349","specific.ob","random_test","0.103549551364052","1.10370992300416","70"
"350","DEG","random_test","0.914555783440268","0.940388774862551","70"
"351","cpm","random_test","0.0326028424559589","1.08605508437752","71"
"352","highexp","random_test","0.176914807636722","1.05109754236665","71"
"353","highvar","random_test","0.165313729543598","1.09828328918616","71"
"354","specific.ob","random_test","0.903577288098566","0.904441992693365","71"
"355","DEG","random_test","0.280117063451335","1.02766737418062","71"
"356","cpm","random_test","0.831445615199954","0.958854064181934","72"
"357","highexp","random_test","0.445097124205199","1.00852389042046","72"
"358","highvar","random_test","0.633706297712217","0.97160822395472","72"
"359","specific.ob","random_test","0.817976723846854","0.933490374245266","72"
"360","DEG","random_test","0.842559091755725","0.956198899221907","72"
"361","cpm","random_test","0.102480531708239","1.0588090365721","73"
"362","highexp","random_test","0.220738403528813","1.04249642812282","73"
"363","highvar","random_test","0.903275406490635","0.885181962782395","73"
"364","specific.ob","random_test","0.580521646898459","0.986750911577307","73"
"365","DEG","random_test","0.0959619897230365","1.06157727660233","73"
"366","cpm","random_test","0.336073012466791","1.01995158271075","74"
"367","highexp","random_test","0.363577580380976","1.01977176113459","74"
"368","highvar","random_test","0.819858179744019","0.919373422422275","74"
"369","specific.ob","random_test","0.723645451643856","0.956971032599783","74"
"370","DEG","random_test","0.280117063451335","1.02766737418062","74"
"371","cpm","random_test","0.420508238519366","1.00989673882895","75"
"372","highexp","random_test","0.591608989567555","0.989018443230348","75"
"373","highvar","random_test","0.932458524192693","0.868282001312888","75"
"374","specific.ob","random_test","0.669035855400357","0.968835754080244","75"
"375","DEG","random_test","0.574293732418464","0.992471243897612","75"
"376","cpm","random_test","0.61400729168408","0.988057792798696","76"
"377","highexp","random_test","0.651895816820613","0.980723698530243","76"
"378","highvar","random_test","0.339727050455629","1.0431614728054","76"
"379","specific.ob","random_test","0.580521646898459","0.986750911577307","76"
"380","DEG","random_test","0.327504167552943","1.02138468245329","76"
"381","cpm","random_test","0.00877831786042669","1.11168666555661","77"
"382","highexp","random_test","0.0127685665112111","1.12446029650354","77"
"383","highvar","random_test","0.0291087179354633","1.19298650516261","77"
"384","specific.ob","random_test","0.0502580698108571","1.13553578936386","77"
"385","DEG","random_test","0.222646297242878","1.03602711934805","77"
"386","cpm","random_test","0.680219781046357","0.980206134415752","78"
"387","highexp","random_test","0.529139211332863","0.99735163202413","78"
"388","highvar","random_test","0.374710601081642","1.03409750850841","78"
"389","specific.ob","random_test","0.338302806434251","1.03524096072877","78"
"390","DEG","random_test","0.280117063451335","1.02766737418062","78"
"391","cpm","random_test","0.630961713625436","0.98609048084177","79"
"392","highexp","random_test","0.19086574976589","1.04822566677936","79"
"393","highvar","random_test","0.5228839439639","0.998188551403908","79"
"394","specific.ob","random_test","0.889357104373211","0.910216655726144","79"
"395","DEG","random_test","0.76796248959895","0.968181219938185","79"
"396","cpm","random_test","0.852995882926079","0.955009331885067","80"
"397","highexp","random_test","0.743908128095628","0.966983860988279","80"
"398","highvar","random_test","0.485224563594019","1.0071140031018","80"
"399","specific.ob","random_test","0.903577288098566","0.904441992693365","80"
"400","DEG","random_test","0.36079935825727","1.01721343293459","80"
"401","cpm","random_test","0.726509965535806","0.974348070111321","81"
"402","highexp","random_test","0.424340798720059","1.01132874815732","81"
"403","highvar","random_test","0.00733735747580528","1.25160479457652","81"
"404","specific.ob","random_test","0.978222903967436","0.853176764007178","81"
"405","DEG","random_test","0.44830301469108","1.00684534739668","81"
"406","cpm","random_test","0.169344451385711","1.04435261869764","82"
"407","highexp","random_test","0.708628269369064","0.972467109909203","82"
"408","highvar","random_test","0.668865135393277","0.962812508648932","82"
"409","specific.ob","random_test","0.0502580698108571","1.13553578936386","82"
"410","DEG","random_test","0.76796248959895","0.968181219938185","82"
"411","cpm","random_test","0.231302014140056","1.03410117804223","83"
"412","highexp","random_test","0.117162785544254","1.06552981968084","83"
"413","highvar","random_test","0.274133949507694","1.06139431306112","83"
"414","specific.ob","random_test","0.856610449134829","0.921813717144618","83"
"415","DEG","random_test","0.0293512512322463","1.08976332712091","83"
"416","cpm","random_test","0.231302014140056","1.03410117804223","84"
"417","highexp","random_test","0.0733990418418976","1.08007103560313","84"
"418","highvar","random_test","0.0235485967129932","1.20265971623292","84"
"419","specific.ob","random_test","0.796462574116016","0.939352410399979","84"
"420","DEG","random_test","0.609508606901452","0.988392510620924","84"
"421","cpm","random_test","0.0572829586180367","1.0734133018745","85"
"422","highexp","random_test","0.220738403528813","1.04249642812282","85"
"423","highvar","random_test","0.274133949507694","1.06139431306112","85"
"424","specific.ob","random_test","0.030746626898869","1.1548463911379","85"
"425","DEG","random_test","0.466269477108971","1.00478199492386","85"
"426","cpm","random_test","0.0477929574399045","1.07761446087716","86"
"427","highexp","random_test","0.0484648496832035","1.09179919242315","86"
"428","highvar","random_test","0.243933758809191","1.07056344352548","86"
"429","specific.ob","random_test","0.773527275977684","0.94523001629575","86"
"430","DEG","random_test","0.222646297242878","1.03602711934805","86"
"431","cpm","random_test","0.473314057070819","1.00390306557986","87"
"432","highexp","random_test","0.508092285066742","1.00012208521548","87"
"433","highvar","random_test","0.0357289977422117","1.18330415436495","87"
"434","specific.ob","random_test","0.426574268707167","1.01693055789121","87"
"435","DEG","random_test","0.395197334883704","1.01305592028827","87"
"436","cpm","random_test","0.508853875436788","0.99993896484375","88"
"437","highexp","random_test","0.383528074747992","1.01695267560591","88"
"438","highvar","random_test","0.306126753768299","1.05226036594109","88"
"439","specific.ob","random_test","0.973712247440039","0.858810692673669","88"
"440","DEG","random_test","0.00516725244836257","1.12298581563021","88"
"441","cpm","random_test","0.403177960183022","1.01190115901832","89"
"442","highexp","random_test","0.343997455257061","1.02259560514321","89"
"443","highvar","random_test","0.0527075847290738","1.16422106123772","89"
"444","specific.ob","random_test","0.396461317842232","1.02301693620338","89"
"445","DEG","random_test","0.161307318581157","1.04662884417133","89"
"446","cpm","random_test","0.741172937840935","0.972401199880881","90"
"447","highexp","random_test","0.946702170238038","0.918552765393522","90"
"448","highvar","random_test","0.668865135393277","0.962812508648932","90"
"449","specific.ob","random_test","0.873712771216145","0.916007213166728","90"
"450","DEG","random_test","0.66063044986679","0.98229729606943","90"
"451","cpm","random_test","0.986632393158448","0.906054403534068","91"
"452","highexp","random_test","0.989557087845822","0.884449216377975","91"
"453","highvar","random_test","0.843981848628066","0.910770915522976","91"
"454","specific.ob","random_test","0.610702185143374","0.980763405745188","91"
"455","DEG","random_test","0.972374864184317","0.917024863290316","91"
