"gene","average_expression","expression_prop"
"GALGAL-R04594",155765996191.053,0.0503764790247401
"GALGAL-R05095",150570250369.861,0.0891000358551452
"GALGAL-R06481",148605418831.017,0.0839010397992112
"GALGAL-R10132",142880374796.648,0.0595195410541413
"GALGAL-R07748",115670972651.999,0.233954822517031
"GALGAL-R12692",114185381826.198,0.230010756543564
"GALGAL-R08942",93735800771.2718,0.0337038365005378
"GALGAL-R16961",87991489026.849,0.0650770885622087
"GALGAL-R11088",87533368243.1129,0.0107565435640014
"GALGAL-R08713",79294630631.6123,0.00699175331660093
"GALGAL-R16479",64851129726.8788,0.214055216923629
"GALGAL-R04378",57056678406.6506,0.180889207601291
"GALGAL-R02034",56439169189.7416,0.0233058443886698
"GALGAL-R03427",39680117764.9062,0.07475797776981
"GALGAL-R00646",38644484615.1345,0.0951954105414127
"GALGAL-R04042",36587399734.3202,0.0111150950161348
"GALGAL-R11573",35997757207.8941,0.0383650053782718
"GALGAL-R12803",35973650828.091,0.165830046611689
"GALGAL-R03139",32378228459.1223,0.14736464682682
"GALGAL-R12902",29245375828.0494,0.0163140910720688
"GALGAL-R08513",29208151348.5433,0.017389745428469
"GALGAL-R14847",25527851112.987,0.0220509143062029
"GALGAL-R08811",15441297678.0897,0.0102187163858014
"GALGAL-R09453",15072212929.2496,0.0147006095374686
"GALGAL-R14890",12216430027.9333,0.12244532090355
"GALGAL-R07239",6780872206.31645,0.0164933667981355
"GALGAL-R03514",5219028668.12451,0.0367515238436716
"GALGAL-R10718",4866367458.02978,0.0415919684474722
"GALGAL-R08776",4577926337.35721,0.147006095374686
"GALGAL-R14627",4411462266.62754,0.172104697024023
"GALGAL-R07827",3200556924.99793,0.00430261742560057
"GALGAL-R12733",2685347455.57463,0.235926855503765
"GALGAL-R05706",2168008881.28163,0.0179275726066691
"GALGAL-R04117",2100031729.24813,0.109716744352815
"GALGAL-R03218",2081132411.28751,0.0501972032986734
"GALGAL-R02142",2081057329.06744,0.0116529221943349
"GALGAL-R00710",2069166278.75666,0.00394406597346719
"GALGAL-R05071",2025807810.75656,0.020258157045536
"GALGAL-R12553",1377423225.43751,0.119576909286483
"GALGAL-R01599",1295042010.71938,0.0588024381498745
